Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Foreskin_Fibroblast_Primary_Cells_skin01__H3K27ac	1.38881757276e-08	5.65476914624e-08	0.402995515382
Skeletal_Muscle_Female__H3K36me3	1.34752248919e-08	5.48669120893e-08	0.402996570523
Psoas_Muscle__H3K4me3	5.55283637522e-08	2.31497230967e-07	0.405216987801
Left_Ventricle__H3K36me3	1.65944297855e-08	7.1842853409e-08	0.408664264145
NHEK-Epidermal_Keratinocyte_Primary_Cells__H3K4me1	1.02982068439e-08	4.47219893788e-08	0.408940339516
Prostate_ENTEX__H3K27ac	1.30456870223e-08	5.67304280311e-08	0.409061715143
Stomach_Mucosa__H3K9ac	2.62924345961e-08	1.18017864515e-07	0.411851999666
Pancreas__DNase	2.84785109663e-08	1.32983808522e-07	0.415214959683
Uterus_ENTEX__H3K4me3	5.60499325608e-08	2.68237365573e-07	0.41724111086
Colonic_Mucosa__H3K36me3	1.66864425129e-08	8.42714640319e-08	0.421519316574
Foreskin_Fibroblast_Primary_Cells_skin02__H3K4me1	9.15860077438e-09	4.63985435284e-08	0.421761242466
Foreskin_Melanocyte_Primary_Cells_skin01__H3K36me3	1.82882419765e-08	9.27024089684e-08	0.421804591483
Right_Ventricle__H3K4me1	1.28598145847e-08	6.61229566654e-08	0.422898713076
Fetal_Intestine_Large__H3K36me3	8.82061112778e-09	4.80303147163e-08	0.427145293381
Skeletal_Muscle_Male__H3K4me1	7.89640027076e-09	4.46498279203e-08	0.429812418937
Primary_B_cells_from_cord_blood__H3K4me3	3.36265286533e-08	1.94704373958e-07	0.431441435168
Fetal_Thymus__H3K36me3	5.76454172871e-09	3.47398839375e-08	0.43410428851
Brain_Dorsolateral_Prefrontal_Cortex__H3K36me3	1.23284548714e-08	8.12599188816e-08	0.439705347122
Pancreas_ENTEX__H3K4me1	4.06090567226e-09	2.69895766799e-08	0.440200064707
Ovary__H3K36me3	1.01619248055e-08	7.23880926719e-08	0.444179419187
Fetal_Heart__DNase	8.27198242332e-09	6.56144460875e-08	0.449838443003
Stomach_ENTEX__H3K27ac	5.10573106334e-09	4.43362793942e-08	0.454159463235
Fetal_Muscle_Leg__H3K27ac	5.52717596368e-09	5.48031451606e-08	0.459832748381
Foreskin_Fibroblast_Primary_Cells_skin01__H3K4me1	3.69911705062e-09	4.13962732943e-08	0.464398423483
Foreskin_Melanocyte_Primary_Cells_skin01__DNase	7.13306893202e-09	8.14943151502e-08	0.465125746707
Fetal_Stomach__H3K27ac	5.37391663303e-09	6.27485897375e-08	0.465875492856
HMEC_Mammary_Epithelial_Primary_Cells__DNase	9.61358095095e-09	1.14494966267e-07	0.466542091141
Foreskin_Melanocyte_Primary_Cells_skin01__H3K4me1	9.33831421387e-09	1.1713986611e-07	0.468230233903
Skeletal_Muscle_Female__H3K4me3	9.00632746441e-09	1.16858156327e-07	0.46928369319
Pancreas_ENTEX__H3K27ac	2.37190916707e-09	3.35198540947e-08	0.471793857859
Adipose_Nuclei__H3K27ac	2.19126307266e-09	3.756171356e-08	0.476739828779
Fetal_Thymus__H3K4me3	9.9013497868e-09	1.74721586163e-07	0.477404315323
Primary_monocytes_from_peripheral_blood__H3K4me3	1.17276995032e-08	2.22743502491e-07	0.479004934506
Fetal_Heart__H3K36me3	6.92028633726e-09	1.34963999737e-07	0.479553173097
HMEC_Mammary_Epithelial_Primary_Cells__H3K36me3	3.98700988556e-09	7.83530241967e-08	0.479708496517
liver_ENTEX__H3K27ac	1.60013563739e-09	3.30619696267e-08	0.4806994973
Primary_hematopoietic_stem_cells_G-CSF-mobilized_Female__H3K27ac	2.84467393026e-09	5.95523153897e-08	0.480950710862
NHDF-Ad_Adult_Dermal_Fibroblast_Primary_Cells__H3K27ac	3.09537105149e-09	1.0175912281e-07	0.48786660162
Pancreas__H3K4me1	1.64213163985e-09	5.62644299989e-08	0.488358137705
Left_Ventricle__H3K4me1	1.73511101679e-09	6.26810305409e-08	0.488958050838
Brain_Inferior_Temporal_Lobe__H3K36me3	-4.31785352262e-10	7.01673652366e-08	0.502454935358
